#-----------------------------------------------------------
# xsim v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Thu Apr 30 18:15:56 2026
# Process ID: 26648
# Current directory: D:/System/desktop/kldj_sourceset/pipilined5
# Command line: xsim.exe -mode tcl -source {xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl}
# Log file: D:/System/desktop/kldj_sourceset/pipilined5/xsim.log
# Journal file: D:/System/desktop/kldj_sourceset/pipilined5\xsim.jou
#-----------------------------------------------------------
source xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl
# xsim {rv32i_supported_instr_tb_sim} -autoloadwcfg -runall
Vivado Simulator 2018.3
Time resolution is 1 ps
run -all
[FAIL] step=105 pc=0x800001a4 inst=0x9fdba0b7 x1 expected=0x9fdba000 got=0x02208cc5
[FAIL] step=106 pc=0x800001a8 inst=0xdca08093 x1 expected=0x9fdb9dca got=0x9fdba000
[FAIL] step=107 pc=0x800001ac inst=0x7ff0a193 x3 expected=0x00000001 got=0x022090c4
[FAIL] step=108 pc=0x800001b0 inst=0x9d4030b7 x1 expected=0x9d403000 got=0x9fdb9dca
[FAIL] step=109 pc=0x800001b4 inst=0x1ad08093 x1 expected=0x9d4031ad got=0x9d403000
[FAIL] step=110 pc=0x800001b8 inst=0x3ff0b193 x3 expected=0x00000000 got=0x00000001
[FAIL] step=111 pc=0x800001bc inst=0x05ef50b7 x1 expected=0x05ef5000 got=0x9d4031ad
[FAIL] step=112 pc=0x800001c0 inst=0x85808093 x1 expected=0x05ef4858 got=0x05ef5000
[FAIL] step=113 pc=0x800001c4 inst=0x25c0c193 x3 expected=0x05ef4a04 got=0x00000000
[FAIL] step=114 pc=0x800001c8 inst=0x8b5440b7 x1 expected=0x8b544000 got=0x05ef4858
[FAIL] step=115 pc=0x800001cc inst=0xef408093 x1 expected=0x8b543ef4 got=0x8b544000
[FAIL] step=116 pc=0x800001d0 inst=0x0010e193 x3 expected=0x8b543ef5 got=0x05ef4a04
[FAIL] step=117 pc=0x800001d4 inst=0x465d70b7 x1 expected=0x465d7000 got=0x8b543ef4
[FAIL] step=118 pc=0x800001d8 inst=0x84b08093 x1 expected=0x465d684b got=0x465d7000
[FAIL] step=119 pc=0x800001dc inst=0x7ff0f193 x3 expected=0x0000004b got=0x8b543ef5
[FAIL] step=120 pc=0x800001e0 inst=0x35e700b7 x1 expected=0x35e70000 got=0x465d684b
[FAIL] step=121 pc=0x800001e4 inst=0x26b08093 x1 expected=0x35e7026b got=0x35e70000
[FAIL] step=122 pc=0x800001e8 inst=0xc0008193 x3 expected=0x35e6fe6b got=0x0000004b
[FAIL] step=123 pc=0x800001ec inst=0xf4dac0b7 x1 expected=0xf4dac000 got=0x35e7026b
[FAIL] step=124 pc=0x800001f0 inst=0xfb408093 x1 expected=0xf4dabfb4 got=0xf4dac000
[FAIL] step=125 pc=0x800001f4 inst=0x8000a193 x3 expected=0x00000001 got=0x35e6fe6b
[FAIL] step=126 pc=0x800001f8 inst=0x2a5a40b7 x1 expected=0x2a5a4000 got=0xf4dabfb4
[FAIL] step=127 pc=0x800001fc inst=0x88e08093 x1 expected=0x2a5a388e got=0x2a5a4000
[PASS] retire step=128 pc=0x80000200 inst=0xc000b193 next_pc=0x80000204
[FAIL] step=129 pc=0x80000204 inst=0x53b330b7 x1 expected=0x53b33000 got=0x2a5a388e
[FAIL] step=130 pc=0x80000208 inst=0x65e08093 x1 expected=0x53b3365e got=0x53b33000
[FAIL] step=131 pc=0x8000020c inst=0x8480c193 x3 expected=0xac4cce16 got=0x00000001
[FAIL] step=132 pc=0x80000210 inst=0x89d6e0b7 x1 expected=0x89d6e000 got=0x53b3365e
[FAIL] step=133 pc=0x80000214 inst=0x81808093 x1 expected=0x89d6d818 got=0x89d6e000
[FAIL] step=134 pc=0x80000218 inst=0xfff0e193 x3 expected=0xffffffff got=0xac4cce16
